"<700","700-800","800-900","900-1000","1000-1200"
"0",131,537,140,87,31
"1_10",160,749,238,95,9
"10_20",2,109,26,1,0
"20_30",0,68,0,0,0
"30_40",1,16,3,0,0
"40_60",0,6,3,0,0
"60_75",0,1,0,0,0
">75",0,18,0,0,0
