"","ID","CALAGUA","ESCASEZ","Falta_ab","falla_AB","inf","PRESHDRL","SUBSIDE","USOSUEL","PRESME","dev_agua","FALTA_D","gasto","Pet_del_dren","abast","edad","Pop_ageb","I_ix","S_M","S_sd","F_M","F_sd"
"34",676,0.650064921310137,0,0.25,0.0625,0.3271,0.02425273441656,1,0.543278813827004,0.0625,0,1,0,0.5,688,9,754,0.39407,0,0,0,0
"35",677,0.18311004443958,0,0.5,0.0625,0.4175,0.198268596162362,1,0.26601990033312,0.0625,0,1,0,0.5,1295,9,1295,0.45508,0,0,0,0
"36",678,0.936305596237132,0,0.125,0.0313,0.4871,0.063140926524357,1,0.552485338611512,0.0625,0,1,0,1,194,6,5660,0.72852,0,0,0,0
"37",679,0.896492006043675,0,0.125,0.0313,0.8385,0.640322633954493,1,0.029340271365869,0.0625,0,1,0,1,225,6,5315,0.68602,0,0,0,0
"38",680,0.660055054905097,0,0.125,0.0313,0.0393,0.179927767437482,1,0.761147672640062,0.125,0,1,0,1,243,6,6230,0.68552,0,0,0,0
"39",681,0.441699100125672,0,0.25,0.0313,0.8905,0.77834002032575,1,0.654387424678006,0.0625,0,1,0,1,506,6,7937,0.63654,0,0,0,0
"40",682,0.859815730330839,0,0.125,0.0313,0.0779,0.341488110239897,1,0.840279248842087,0.0625,0,1,0,1,166,6,2985,0.63557,0,0,0,0
"41",683,0.77622558750587,0,0.25,0.0625,0.8368,0.7248723565699,1,0.495595324254228,0.0625,0,1,0,0.5,415,9,1621,0.56592,0,0,0,0
"42",684,0.673430660587871,0,0.125,0.125,0.0358,0.019065284682537,1,0.242906703426654,0.0625,0,1,0,1,287,14,4199,0.49284,0,0,0,0
"43",685,0.79731531155539,0,0.0625,0.125,0.638,0.540342127398496,1,0.971756148411252,0.0625,0,1,0,1,131,14,3489,0.49155,0,0,0,0
"44",686,0.346652645564364,0,1,0.0625,0.2437,0.470998904281424,1,0.769944526117247,0.0625,0,1,0,0.25,4177,9,4186,0.56327,0,0,0,0
"45",687,0.279306692894747,0,0.25,0.0625,0.7022,0.121825962699887,1,0.526054898966994,0.0625,0,1,0,0.5,747,9,1356,0.41456,0,0,0,0
"46",688,0.537113002119754,0,1,0.0625,0.1364,0.655883101963025,1,0.540754023980043,0.0625,0,1,0,0.5,3045,9,3203,0.5116,0,0,0,0
"47",689,0.159435878694469,0,1,0.0625,0.7975,0.688056206832114,1,0.838118756091841,0.0625,0,1,0,0.25,2541,9,2547,0.52406,0,0,0,0
"48",690,0.929729521586042,0,0.5,0.0625,0.5636,0.876977835386299,1,0.385988096323871,0.0625,0,1,0,0.5,1563,9,1563,0.39389,0,0,0,0
"49",691,0.003726323862423,0,0.5,0.0625,0.0435,0.466555643987024,1,0.382678977764722,0.0625,0,1,0,0.25,1165,9,1165,0.44846,0,0,0,0
"50",692,0.063816368509694,0,1,0.0625,0.2479,0.605310359578257,1,0.390126615782665,0.0625,0,1,0,0.25,1673,9,1681,0.43222,0,0,0,0
"51",693,0.071967733688409,0,1,0.0625,0.9742,0.91750026612112,1,0.346788657441842,0.0625,0,1,0,0.5,3288,9,3304,0.55786,0,0,0,0
"52",694,0.057093602350007,0,1,0.0625,0.0142,0.230797079535943,1,0.206807557260194,0.0625,0,1,0,0.5,2615,9,2645,0.54033,0,0,0,0
"53",695,0.462022468726518,0,0.0625,0.125,0.2259,0.829101579713618,0,0.278066488953385,0.0625,0,1,0,1,77,14,2513,0.59618,0,0,0,0
"54",696,0.767485232846894,0,0.0625,0.125,0.5567,0.042517269836173,0,0.490481988169071,0.0625,0,1,0,1,80,14,1853,0.63237,0,0,0,0
"55",697,0.697117965665292,0,0.0625,0.0156,0.7573,0.366165151115221,0,0.454766125056111,0.0625,0,1,0,1,40,4,205,0.49584,0,0,0,0
"56",732,0.653309316740544,0,0.0625,0.0625,0.4142,0.518169690353939,0,0.37039413804858,0.0625,0,1,0,0.263571,124,9,5556,0.64426,0,0,0,0
"57",733,0.568882978649669,0,0.0625,0.0625,0.7752,0.198558263706002,0,0.776305731644301,0.0625,0,1,0,0.263571,177,9,7596,0.57638,0,0,0,0
"58",734,0.464472835171274,0,0.0625,1,0.3004,0.967856500757718,0,0.964292783619603,0.0625,0,1,0,0.263571,136,64,5980,0.51772,0,0,0,0
"59",735,0.040949430411853,0,0.0625,0.25,0.5141,0.665409722682492,0,0.948682631855002,0.0625,0,1,0,0.263571,58,18,2209,0.46847,0,0,0,0
"60",736,0.236051978098537,0,0.0625,0.0625,0.366,0.342405372174137,0,0.278000899200082,0.0625,0,1,0,0.263571,21,9,840,0.47493,0,0,0,0
"61",737,0.787485976426509,0,0.0625,1,0.4382,0.212107307605076,0,0.740337659069794,0.0625,0,1,0,0.263571,50,64,4050,0.64225,0,0,0,0
"62",738,0.629491917141937,0,0.125,0.25,0.1749,0.454490753510029,0,0.153340466178391,0.0625,0,1,0,0.263571,208,18,4996,0.54798,0,0,0,0
"63",739,0.383302995137612,0,0.0625,0.0625,0.3078,0.391399842609567,0,0.330674114540173,0.0625,0,1,0,0.065893,0,9,10,0,0,0,0,0
"64",740,0.829746371216954,0,0.0625,0.0156,0.7881,0.51684545691002,0,0.383210449384152,0.0625,0,1,0,0,0,4,0,0,0,0,0,0
"65",741,0.334960386648902,0,0.0625,0.0156,0.1301,0.257235213470978,0,0.230965982344125,0.0625,0,1,0,0.131786,55,4,450,0.23485,0,0,0,0
"66",742,0.693348938898354,0,0.0625,0.0313,0.1182,0.499128518784517,0,0.268444382357154,0.0625,0,1,0,0.263571,111,6,1792,0.53834,0,0,0,0
"67",743,0.561136281624272,0,0.0625,0.0625,0.8813,0.149384175631349,0,0.762135767985882,0.125,0,1,0,0.131786,51,9,2516,0.30483,0,0,0,0
"68",744,0.157444503672086,0,0.25,0.0625,0.0803,0.089886886600429,0,0.478034731999659,0.0625,0,1,0,0.131786,432,9,2115,0.22458,0,0,0,0
"69",760,0.117447136489528,0,0.0625,0.25,0.5016,0.635647485302256,1,0.987543697087986,0.0625,0,1,0,1,96,18,4079,0.62864,0,0,0,0
"70",761,0.087642264659278,0,0.125,0.25,0.0931,0.045529314928133,1,0.348698468049689,0.0625,0,1,0,1,290,18,6695,0.58735,0,0,0,0
"71",762,0.870335223126473,0,0.125,0.0625,0.9962,0.453202062527096,1,0.830987779118636,0.125,0,1,0,1,189,9,1998,0.59502,0,0,0,0
"72",763,0.325985962632915,0,0.0625,0.0625,0.0684,0.909126330435972,1,0.816250039628832,0.25,0,1,0,1,52,9,1036,0.63749,0,0,0,0
"73",764,0.547834775643468,0,0.0625,0.0625,0.3046,0.193106764326677,1,0.84251750864963,0.25,0,1,0,1,158,9,1794,0.54668,0,0,0,0
"74",765,0.593926015757449,0,0.0625,0.0625,0.6356,0.962401736799911,1,0.224650690301088,0.25,0,1,0,1,60,9,807,0.56872,0,0,0,0
"75",766,0.150173802215578,0,0.0625,0.0625,0.6722,0.343732712204301,1,0.171716341984592,0.125,0,1,0,1,68,9,530,0.57149,0,0,0,0
"76",767,0.660393362805823,0,0.0625,0.0625,0.0923,0.02758869740115,1,0.711838552639704,0.0625,0,1,0,0.5,47,9,185,0.46624,0,0,0,0
"77",768,0.031388159461345,0,0.125,0.125,0.9145,0.644886298758153,1,0.535248377075938,0.0625,0,1,0,1,266,14,4659,0.56926,0,0,0,0
"78",769,0.694686918165147,0,0.125,0.0625,0.0443,0.959060067011901,1,0.077915465066479,0.0625,0,1,0,1,196,9,1106,0.59945,0,0,0,0
"79",770,0.558817913867655,0,0.0625,0.0625,0.5183,0.047599587199992,1,0.918074511156656,0.0625,0,1,0,0.25,83,9,105,0.49335,0,0,0,0
"80",771,0.604370327642962,0,0.0625,0.125,0.3435,0.673051527791285,1,0.986736317344509,0.125,0,1,0,1,97,14,673,0.44433,0,0,0,0
"81",772,0.327189328349486,0,0.0625,0.0625,0.7681,0.979843999022648,1,0.867760543922537,0.0625,0,1,0,1,11,9,118,0.47076,0,0,0,0
"82",773,0.435903985208271,0,0.0625,0.125,0.4346,0.193954281567172,1,0.362244889600659,0.0625,0,1,0,1,87,14,3692,0.62276,0,0,0,0
"83",774,0.122300491074052,0,0.0625,0.0625,0.4834,0.932632573173679,1,0.398312042240111,0.0625,0,1,0,1,93,9,715,0.52137,0,0,0,0
"84",775,0.633251595744746,0,0.0625,0.125,0.5335,0.801118646671633,1,0.759207714460611,0.0625,0,1,0,1,58,14,2875,0.56257,0,0,0,0
