X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP
-98.65201137,19.60161575,0,88,2.9006E+12,4,37,,33,63,0,65,0,55,0.5,0.0625,0,0.1511,1,0,,0.384,54,96,0.26,0.6,1869,,9,0,29,6,,
-98.9110697,19.6437961,1,644,1.5002E+12,9,149,,25,98,0,41,0,45,0,0.0625,0.039,0.1111,1,0,,0.67829,44,55,1,0.9,2190,,46,0.010321,15,2,,
-98.90906195,19.63695737,2,645,1.5002E+12,14,209,,90,77,0.73,95,0,49,0,0.0625,0.074,0.1124,1,0,,0.68407,26,25,1,0.4,3201,,7,0.013445,15,2,,
-98.90633439,19.63527327,3,646,150020001050A,6,12,,51,33,0,27,0,52,0,0.0625,0.021,0.031,1,0,,0.50436,95,24,1,0,148,,77,0.009512,15,2,,
-98.91656019,19.63066198,4,647,1.5002E+12,6,15,,82,17,0,58,0,38,0,0.0625,0.021,0.1715,1,0,,0,43,72,0.25,0,32,,7,0.008006,15,2,,
-98.89775411,19.65339663,5,648,1.5002E+12,9,1136,,32,14,0.26,53,0,58,0,0.0625,0.038,0.1707,1,0,,0.59471,3,23,1,4,5099,,49,0.008033,15,2,,
-98.93336296,19.66718615,6,649,150020008036A,9,300,,72,3,0.9,27,0,12,0,0.0625,0.033,0.2347,1,0,,0.55625,64,20,1,1.9,3098,,91,0,15,2,,
-98.93058829,19.67314293,7,650,1.5002E+12,9,250,,42,49,0,78,0,44,0,0.0625,0.033,0.2112,1,0,,0.47655,16,33,0.5,2.3,768,,15,0,15,2,,
-98.93086345,19.66341365,8,651,1.5002E+12,9,157,,80,60,0,70,0,82,0,0.0625,0.033,1,1,0,,0,22,95,0.5,0,250,,72,0,15,2,,
-98.88823952,19.62958303,9,652,1.5002E+12,4,97,,59,78,1.79,1,0,75,0,0.0625,0.01,0,1,0,,0.58257,88,9,1,1.3,1553,,96,0.00477,15,2,,
-98.88945008,19.62540167,10,653,1.5002E+12,4,95,,100,81,0,0,0,58,0,0.0625,0.011,0.0319,1,0,,0.59297,62,84,1,0,1252,,10,0.005551,15,2,,
-98.92473985,19.63632306,11,654,1.5002E+12,14,325,,60,54,0.51,80,0,76,0,0.0625,0.07,0.1098,1,0,,0.63794,80,64,1,2.4,5116,,1,0.004965,15,2,,
-98.9259548,19.60809178,12,655,1.5002E+12,9,9,,74,80,0,95,0,21,0,0.0625,0.038,0.0917,1,0,,0,37,72,0.5,0,40,,48,0.008898,15,2,,
-98.91157474,19.60973107,13,656,1.5002E+12,14,307,,89,99,100,88,0,95,0,0.0625,0.068,0.1154,1,0,,0.59214,34,39,1,1.7,2214,,52,0.002538,15,2,,
-98.91852473,19.61662622,14,657,1.5002E+12,14,55,,96,14,90,82,0,14,0,0.0625,0.072,0.0392,1,0,,0.46196,83,75,1,2.9,702,,57,0.008563,15,2,,
-98.93724045,19.62141726,15,658,1.5002E+12,9,17,,5,67,0,89,0,78,0,0.0625,0.033,0.033,1,0,,0.53056,26,75,1,0,220,,64,0.000084,15,2,,
-98.95045031,19.62104723,16,659,150020015011A,9,26,,12,25,0,84,0,46,0,0.0625,0.039,0.0183,1,0,,0.39507,25,92,1,0,105,,55,0.011241,15,2,,
-98.95336703,19.61410304,17,660,1.5002E+12,9,511,,85,64,1,82,0,18,0,0.0625,0.043,0.022,1,0,,0.56136,42,59,1,0.4,3541,,59,0.017992,15,2,,
-98.96257263,19.61674006,18,661,1.5002E+12,14,746,,37,11,0,66,0,19,0,0.0625,0.071,0.0315,1,0,,0.54873,70,36,1,0.7,4723,,20,0.007866,15,2,,
-98.97248188,19.61275746,19,662,1.5002E+12,14,201,,95,62,0,58,0,97,0,0.0625,0.073,0.0298,1,0,,0.55169,68,61,1,0,4353,,72,0.011158,15,2,,
