X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-98.9157944903453,19.6132776454294,23,666,"""1500200150266""",14,56,9999,93,25,72.41,91,0,97,0,0.0625,0.072,0.0215,1,0,9999,0.63651,57,37,1,0.8,3499,9999,99,0.008396,15,2,9999,9999,3
-98.9087698619137,19.6143130764473,24,667,"""1500200150270""",14,454,9999,84,39,95.12,83,0,63,0,0.0625,0.071,0.1128,1,0,9999,0.62539,15,54,1,0,2732,9999,96,0.006499,15,2,9999,9999,3
-98.9418408429076,19.614796629459,25,668,"""1500200150285""",9,562,9999,95,87,47.52,80,0,89,0,0.0625,0.037,0.1984,1,0,9999,0.6434,11,2,1,0.6,3712,9999,80,0.007392,15,2,9999,9999,3
-98.9300643709271,19.6120219711835,26,669,"""150020015029A""",4,127,9999,84,83,25,37,0,86,0,0.0625,0.014,0.1482,1,0,9999,0.68219,15,14,1,0.7,4116,9999,77,0.011827,15,2,9999,9999,3
-98.9122362453347,19.6187704600575,27,670,"""1500200150302""",9,10,9999,62,1,33.33,7,0,20,0,0.0625,0.036,0.1063,1,0,9999,0,93,58,0,0,4,9999,34,0.005774,15,2,9999,9999,3
-98.9289704947346,19.6247331092077,28,671,"""1500200150336""",14,198,9999,99,2,0,38,0,56,0,0.0625,0.069,0.1881,1,0,9999,0.70757,46,17,1,1.2,1732,9999,95,0.00318,15,2,9999,9999,3
-98.9278112210826,19.6195885354362,29,672,"""1500200150340""",14,60,9999,57,18,2.04,15,0,6,0,0.0625,0.07,0.2344,1,0,9999,0.69178,95,38,1,0.7,1712,9999,5,0.005356,15,2,9999,9999,3
-98.8985209357624,19.6061163613287,30,673,"""1500200150355""",14,693,9999,6,33,55.56,99,0,76,0,0.0625,0.069,0.096,1,0,9999,0.51732,27,42,0.5,5.5,817,9999,52,0.003236,15,2,9999,9999,3
-98.9709966702777,19.6184253180497,31,674,"""1500200150410""",9,37,9999,97,38,0,17,0,52,0,0.0625,0.032,0.1444,1,0,9999,0.55466,88,64,1,0,414,9999,60,0,15,2,9999,9999,3
-98.8973279823483,19.6013137804329,32,675,"""1500200150425""",9,189,9999,84,19,8.33,71,0,66,0,0.0625,0.036,0.0957,1,0,9999,0.48487,27,81,0.5,6,221,9999,100,0.005495,15,2,9999,9999,3
-98.9787210546135,19.6050013754073,33,676,"""150020015043A""",9,688,9999,9,83,84,87,0,49,0,0.0625,0.061,0.0383,1,0,9999,0.39407,49,28,0.5,0,754,9999,4,0.052664,15,2,9999,9999,3
-98.9805416949165,19.5998275714887,34,677,"""1500200150444""",9,1295,9999,4,96,100,60,0,31,0,0.0625,0.071,0.0428,1,0,9999,0.45508,79,11,0.5,0,1295,9999,75,0.0706,15,2,9999,9999,3
-98.9739900763327,19.6049920607628,35,678,"""1500200150459""",6,194,9999,60,19,0,43,0,96,0,0.0625,0.033,0.0211,1,0,9999,0.72852,36,38,1,0,5660,9999,4,0.032301,15,2,9999,9999,3
