"station_name","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","est_U$ESTACIONES[2:50]","est_U$COORDENADAS..ALTITUD[2:50]","est_U$COORDENADAS..LATITUD[2:50]"
"1","Tanque Chalmita",1.01268211536544,0.791977075663139,0.701928614735757,0.794176860954817,0.755199875471734,0.778407467401131,0.817529299590614,0.743826018700003,0.825043606950218,0.684724767742051,0.773684756633314,0.644273493896357,"CHALMITA","99.1455336138889","19.5560131027778"
"2","Remedios",0.906399752989673,0.891551617457131,0.681459303872633,0.91997418293016,0.739811777686633,0.676805531074735,0.773021164296826,0.705814987251614,0.642326404843157,0.631037223140345,0.680403124814071,0.499711429038236,"REMEDIOS","99.1554144527778","19.5150017055556"
"3","Lindavista",1.00981031596129,0.812374081203267,0.899236337231323,0.807551653805582,0.86146105579565,0.70834567880931,0.7121764776239,0.745016671674947,0.702975489947338,0.725524420392951,0.624441714989813,0.639365907553151,"LINDAVISTA","99.1208939416667","19.4899803388889"
"4","Coyol",0.944383087133067,0.863444833498768,0.716486856834864,0.861353669492643,0.8499754606764,0.749466427955517,0.802723804763558,0.719170244023732,0.774593396543475,0.642412845266779,0.637559359205487,0.567887609625746,"COYOL","99.0901117555556","19.4847394555556"
"5","Gen. 101",0.951252319358752,1.14952244969835,0.833192513312448,0.697779415944567,0.81081277642355,0.758341588551263,0.888036735409751,0.767724208085035,0.726569040952989,0.687848261698294,0.924157597569171,0.814635080697853,"GENERADORA 101","99.099083675","19.4587837722222"
"6","Rosario",0.954054860930319,1.01215784983479,0.856352622255701,0.756384940327817,0.769250705154977,0.852080043859988,0.857160355375482,0.837577212200792,0.690450211721187,0.615985279870829,0.608898227422888,0.550489556000242,"ROSARIO","99.1908821944444","19.5100361805556"
"7","Campamento Mecoaya",1.06715581116925,0.79243525769216,0.829815259840868,0.827430028420502,0.809495123407049,0.815295288905763,0.774172286613218,0.814159512160925,0.732024255910881,0.583043285304477,0.67147373091038,0.572835033592377,"CAMPAMENTO MECOAYA","99.1829003777778","19.4869492916667"
"8","Nueva Santa Maria",0.871136566233371,0.71569346085442,0.694117540770927,0.818891470555662,0.770076121594039,0.766472911068633,0.762214821168736,0.735354060349881,0.637002419622798,0.667610732512796,0.722467038748613,0.766999390305073,"NUEVA STA. MARIA","99.1655419833333","19.4693517083333"
"9","S. Joaquin",0.800965658648997,0.748428901700457,0.903266706499934,0.782680450688256,0.802005406666913,0.81759398324799,0.856659457460997,0.772564985972138,0.751421193962411,0.707867552418305,0.586988464301599,0.574983860937405,"SAN JOAQUIN","99.2282680222222","19.4368529"
"10","Tizoc",0.746364582849165,1.09687818648703,0.772792387007506,0.669145179447236,0.731475030228455,0.800783327936368,0.814991138883832,0.741613540300852,0.741216516413659,0.696752359015267,0.684300113600949,0.527203120714983,"TIZOC","99.1706816194445","19.4229817833333"
"11","G.D.F.",0.774149569952162,0.816616109286911,1.00103849452091,0.741158079947351,0.779500120371299,0.80778253674724,0.835253847921905,0.851846677810408,0.740121465050603,0.83927331497635,0.781543339335182,0.603641483989909,"G.D.F","99.1326867611111","19.431499875"
"12","M.Carrillo",1.35260336521648,0.817332315099568,1.03474277601777,0.743017349320328,0.776813112237306,0.810893835514519,0.831445569150467,0.775740491635428,0.837851421215035,0.721459712962893,0.694692260850813,0.729841462507279,"MARCOS CARRILLO","99.1339531","19.4034323972222"
"13","López  Mateos",1.1974160362365,0.823501315448502,0.936572041092184,0.995092875885557,0.98485775959114,0.750965372747135,0.796417297848642,0.797469044899763,0.695856774051881,0.691106329883933,0.76972630532454,0.421377825072471,"LOPEZ MATEOS","99.0692220833333","19.4210877777778"
"14","Ch. lago",1.11203350761255,0.791492115127431,0.876885022987232,0.87345037736661,0.988479221953125,0.784003536002344,0.759751308651566,0.790523528853099,0.741167359586869,0.922656077801968,0.995506005705986,0.456858900978785,"CHURUBUSCO LAGO","99.0474494027778","19.4422443527778"
"15","Triángulo",0.761915674874705,0.912926695971117,1.03322921110931,0.749114231795411,0.786794230377458,0.850037566814311,0.834502303884553,0.826829206995442,0.757641816418902,0.694838198250106,0.757532188839702,0.581958165522498,"TRIANGULO","99.2183061666667","19.3972928972222"
"16","T.S.Lucia",1.11182091560895,0.847161146651769,1.03689547555303,0.746117205044696,0.912181288005275,0.820130445918937,0.929196830327401,0.898785326842499,0.741093863282238,0.691062029560288,0.824121630319331,2.99234066074819,"STA. FÉ","99.2652961055555","19.3623490694444"
"17","T.Lienzo",0.711395258685667,0.716402862854349,0.952497080587169,0.981527151837622,0.85699969298929,0.839628820649132,0.828235720919618,0.859521615157931,0.799963249323173,0.722365266197266,0.666984841601206,0.526785733084404,"TANQUE LIENZO","99.2209162194444","19.3377946694444"
"18","Universidad",0.796167972801069,0.855841368824519,0.950747078232723,0.799176638470668,0.793400253201721,0.84337837022012,0.973853854863642,0.850757716829696,0.809693004729424,0.672576818582472,0.990166247903809,1.32096228018002,"UNIVERSIDAD","99.1811667777778","19.3477605055556"
"19","Radiocomunicación",0.691300339932137,1.03078316354042,0.872802135256344,0.731933373622494,0.845800211368645,0.912667828535144,0.886088306514374,0.76751821021385,0.795354275651257,0.673839420190756,0.863901804197729,0.641289294113279,"RADIO COMUNICACIÓN","99.1677832111111","19.3993639333333"
"20","Municipio Libre",0.963255544420812,0.835040830801499,0.951775745696897,0.759212175993904,0.714863437190077,0.700829881504178,0.840283560745958,0.804216519351005,0.679361327722163,0.699442337715851,1.0876692410481,0.412205409747511,"MUNICIPIO LIBRE","99.1277416361111","19.3656876083333"
"21","El Cartero",0.696858192806522,0.829097206608463,0.808403938555249,0.72287157735727,0.807546570539556,0.837138671133492,0.863240888967195,0.881856445658683,0.762827092024969,0.661955714462312,0.771086861244407,1.25045189361176,"EL CARTERO","99.2712238444444","19.3739044416667"
"22","La Venta",0.858820043486102,0.584350582623256,0.754863749068513,0.821101101280522,0.71367364770588,0.781638412028121,0.831929300417329,0.813638833537571,0.797047647447271,0.653337463962951,0.742260573086089,0.720220075223126,"LA VENTA","99.3109044583333","19.3335198055556"
"23","El Zarco",1.08217947224349,0.697802835307447,0.764773087523572,1.01435515732683,0.764249162804611,0.853011911906815,0.950552909156831,0.9016656816578,0.816309090949535,0.709036654985203,0.889966497932628,0.672291127287646,"EL ZARCO","99.3529333444444","19.2954449222222"
