"BehaviorSpace results (NetLogo 6.0.1)"
"ABM-Empirical-MexicoCity_V6_SESMO.nlogo"
"SESMO_doublecouppling"
"03/01/2018 13:34:55:656 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","recursos_para_mantenimiento","recursos_nuevaInfrastructura","Eficiencia_Mantenimiento","Eficiencia_NuevaInfra","MCDA","switch_MCDA","[step]","mean [Antiguedad-infra_D] of agebs with [CV_estado = ""09""]","sum [flooding] of agebs with [CV_estado = ""09""]","sum [flooding_index] of agebs with [CV_municipio = ""002""]","sum [flooding_index] of agebs with [CV_municipio = ""003""]","sum [flooding_index] of agebs with [CV_municipio = ""004""]","sum [flooding_index] of agebs with [CV_municipio = ""005""]","sum [flooding_index] of agebs with [CV_municipio = ""006""]","sum [flooding_index] of agebs with [CV_municipio = ""007""]","sum [flooding_index] of agebs with [CV_municipio = ""008""]","sum [flooding_index] of agebs with [CV_municipio = ""009""]","sum [flooding_index] of agebs with [CV_municipio = ""010""]","sum [flooding_index] of agebs with [CV_municipio = ""011""]","sum [flooding_index] of agebs with [CV_municipio = ""012""]","sum [flooding_index] of agebs with [CV_municipio = ""013""]","sum [flooding_index] of agebs with [CV_municipio = ""014""]","sum [flooding_index] of agebs with [CV_municipio = ""015""]","sum [flooding_index] of agebs with [CV_municipio = ""016""]","sum [flooding_index] of agebs with [CV_municipio = ""017""]"
"1","1200","1200","0.2","0.1","""Favors New Infrastructure""","false","39","39.74114061194806","116.58476773871178","439.0000000000002","497.19999999999976","72.56","1638.0200000000018","947.58","1990.8700000000017","207.44999999999996","79.99999999999999","913.4499999999998","381.74999999999983","605.8500000000001","333.23999999999984","615.9100000000002","1701.2299999999998","1128.2900000000006","1572.4999999999989"
"2","1200","1200","0.2","0.1","""Favors New Infrastructure""","true","39","15.477779652583362","116.5847677387117","265.25000000000006","382.58","71.46000000000001","944.9399999999996","373.98000000000013","1256.7","115.27","75.97999999999999","399.5699999999998","269.14999999999986","404.2500000000002","254.14000000000004","342.7300000000001","615.7199999999998","370.07000000000005","655.3799999999994"
"3","1200","1200","0.4","0.1","""Favors New Infrastructure""","false","39","38.575786650899715","116.58476773871183","440.15999999999997","493.87000000000006","69.71000000000001","1634.219999999999","962.7300000000004","1963.8800000000003","204.57999999999996","75.80000000000001","912.3199999999998","371.94","602.0199999999999","324.16","608.1800000000001","1698.7299999999989","1138.9000000000003","1571.1800000000003"
"4","1200","1200","0.4","0.1","""Favors New Infrastructure""","true","39","10.903273766903842","116.58476773871175","230.41000000000003","352.40999999999997","65","865.2800000000003","337.07000000000005","1160.3900000000008","104.31","70.22999999999998","355.96","249.78","374.42000000000013","234.96000000000006","299.34000000000003","568.6","310.4899999999999","595.1299999999997"
